"mz_rt_min","tr1_vs_ctrl","tr2_vs_ctrl","tr2_tr1_vs_ctrl","tr2_vs_tr1","AveExpr","F","P.Value","adj.P.Val"
"191.58974_0.867",-0.241591663956643,3.12671671124885,4.15314935259935,3.36830837520549,21.9364563657688,41.1750042504424,1.9251305009736e-14,2.13368630524574e-13
"347.15875_7.41",0.31057424475931,-1.88815963685625,-2.19346131097446,-2.19873388161556,19.5336863978797,41.1524804888388,1.94600436422567e-14,2.14194687262356e-13
"224.60558_0.864",-0.13076332385067,1.88610221494321,2.8068293864022,2.01686553879388,19.5427574177955,41.080590420608,2.01420782688144e-14,2.20183266554985e-13
"422.21347_1.191",0.0131178916427199,3.55876934600147,4.64537111106912,3.54565145435875,21.8069465317348,41.0187504828437,2.07485303783382e-14,2.25269758393387e-13
"258.10997_1.176",0.505007569433902,3.17015052081729,2.7042809775092,2.66514295138339,24.4324406644894,40.8226388759848,2.2799710233235e-14,2.45867145488128e-13
"625.2675_0.996",-0.223553023612635,2.64895143614531,3.68227602253227,2.87250445975794,19.7865660765887,40.43007626522,2.75601024170732e-14,2.95207539984221e-13
"86.99335_0.8",-0.0262259094351241,1.20695936103908,1.13305703266013,1.2331852704742,28.5485262765884,40.1822450910762,3.1084622179131e-14,3.30740379985954e-13
"105.00376_0.802",0.0135020920418426,1.19155522380086,1.13406542755611,1.17805313175902,28.3502052776688,40.1168580229096,3.20900749165348e-14,3.39177215674103e-13
"87.99417_0.797",-0.0208067125999528,1.22292721675648,1.1482042699987,1.24373392935643,25.5988295337344,40.1005855470631,3.23454826316624e-14,3.39627567632455e-13
"352.19806_1.031",0.0676682641214232,-1.50597602460287,-1.51980398834266,-1.5736442887243,20.3251874111393,39.6651768960153,4.00205662036604e-14,4.17469435693085e-13
"106.00446_0.801",-0.0045552340523441,1.18449554290256,1.12561554642744,1.18905077695491,25.3390840182349,39.2990054535582,4.79259225917602e-14,4.96686834132787e-13
"103.00639_0.801",-0.0278296942224233,1.25592798818753,1.17087506799383,1.28375768240996,25.9970873953633,39.0497296866555,5.4217747265048e-14,5.58267900871075e-13
"121.01675_0.801",-0.00753757333173902,1.20447218043106,1.12043405464807,1.2120097537628,27.6041776361371,39.0132218842971,5.52085241434725e-14,5.63603869620708e-13
"107.00129_0.801",-1.00640122602937e-06,1.19132155610404,1.11455718673921,1.19132256250527,25.5976003704246,39.0047089303914,5.54422352947689e-14,5.63603869620708e-13
"119.01926_0.805",0.00622164178949843,1.20901901949178,1.13495488757736,1.20279737770228,30.3857259226666,38.9650817073252,5.65436857038408e-14,5.71162799894493e-13
"531.20314_1.111",0.244507193213802,3.26965196937769,2.71675482300928,3.02514477616389,21.4080635730733,38.8414032708747,6.01291735964521e-14,6.03560761383256e-13
"101.00888_0.799",-0.0473993387147678,1.2221337333884,1.14921372777246,1.26953307210316,28.7844635626438,38.717032635594,6.39723375231724e-14,6.38124066793645e-13
"182.96205_0.804",-0.246102516002844,2.35407938137138,2.62038689407757,2.60018189737423,20.6944323113412,38.6721083264127,6.54222283803522e-14,6.48533394379144e-13
"120.01976_0.803",0.00192277566021216,1.20030079759915,1.127993840528,1.19837802193894,27.3187865378282,38.6396929194773,6.64894790057485e-14,6.55044496871448e-13
"329.21136_7.585",0.81788264014804,-1.8869192308533,-1.69227762759059,-2.70480187100134,20.9963901652955,38.5419566831057,6.98176773862646e-14,6.83613577352628e-13
"212.07984_0.964",-0.0868724377743248,-1.82797467773336,-1.95183245108713,-1.74110223995903,19.4045286944451,38.519029234773,7.06230759586117e-14,6.87283105060636e-13
"147.01391_0.8",-0.113885566000279,1.17974885683374,1.10307243252239,1.29363442283402,25.129110361395,38.4866564866798,7.17766629893336e-14,6.94276085642281e-13
"523.37508_7.571",0.446249486847321,2.35785030764151,2.50385970567319,1.91160082079419,20.1307591869406,38.1821054727394,8.36318818170697e-14,8.04075201084598e-13
"73.01424_0.8",-0.0628441499081658,1.23895061488213,1.16680985066852,1.30179476479029,23.3781282002196,38.1591066680812,8.46056539982656e-14,8.08566609468455e-13
"102.00958_0.799",-0.0676902596911165,1.1990255680168,1.15941128343098,1.26671582770792,25.7409852828553,38.0619161443462,8.88519634238181e-14,8.44093652526272e-13
"607.31232_8.142",0.0727216355433191,-2.49540708615234,-3.11604156575003,-2.56812872169566,23.101071734116,38.0338483399615,9.01188294292142e-14,8.51063028219088e-13
"165.02455_0.802",0.0265332440866261,1.23930317523088,1.16289405237517,1.21276993114426,24.6403593879763,37.8624515200865,9.82711347209411e-14,9.2259253538013e-13
"120.06087_0.978",0.000862635500556817,3.03054954973632,2.71192919064464,3.02968691423576,18.8244604196665,37.7485303380225,1.04108372837522e-13,9.71678146483543e-13
"151.00885_0.803",0.0318365477923942,1.22163475768777,1.13073164705445,1.18979820989538,24.8101720154646,37.6769095317656,1.07960671819461e-13,1.00177460595267e-12
"126.10284_0.853",0.028367187303516,2.47182373110963,2.630742309028,2.44345654380611,20.3748102505937,37.6597592557274,1.08904825563715e-13,1.00469422889994e-12
"132.99837_0.801",0.0424323333260983,1.26677701010045,1.1735983309521,1.22434467677435,26.1164933178173,37.4832360090741,1.19133739933659e-13,1.09274395939149e-12
"442.27028_5.518",-0.456084978293927,3.5308081908663,5.22854765158556,3.98689316916023,20.8915495290605,37.4496699491445,1.21188608664414e-13,1.10241739335313e-12
"305.18649_9.189",1.09534720611726,-2.04540686275527,-2.51619926643549,-3.14075406887252,20.434778132503,37.4435073693152,1.21569837863503e-13,1.10241739335313e-12
"134.0351_0.796",0.0505549672542893,1.28739551036797,1.24819790358995,1.23684054311368,24.8484186499009,37.2650789859895,1.33162775821206e-13,1.20072197859122e-12
"68.98293_0.809",-0.0843594493016114,1.19270885268181,1.11031610797903,1.27706830198343,26.0542490023044,37.13840800353,1.42082284998667e-13,1.27395127448243e-12
"148.13331_1.183",0.0143035241689959,-1.23527886877691,-1.17588012791918,-1.2495823929459,27.3489423238553,37.072567865078,1.46960214581558e-13,1.30304723595648e-12
"148.13335_1.185",0.0143035241689959,-1.23527886877691,-1.17588012791918,-1.2495823929459,27.3489423238553,37.072567865078,1.46960214581558e-13,1.30304723595648e-12
"324.14122_7.332",-0.212133438109471,-2.48641793751405,-2.75017174818513,-2.27428449940458,19.4517654623602,36.9618708169548,1.55555497967683e-13,1.37163853456587e-12
"353.24868_7.925",-0.630821793415367,-2.92097628782158,-2.3589815022638,-2.29015449440622,22.6699656996935,36.9287058725834,1.58230605010621e-13,1.38756069009314e-12
"141.01592_1.828",0.00544975271580134,3.611776504905,3.48715024005056,3.6063267521892,22.4548688658443,36.9132285192905,1.59495254953733e-13,1.39100779730141e-12
"434.22495_0.965",-0.197493481007362,2.43988507766311,3.48399563956474,2.63737855867048,22.3100008489351,36.8005951329805,1.69019047737493e-13,1.46605652276652e-12
"394.19544_4.69",0.515888958621955,-3.04980038264528,-3.00962895931261,-3.56568934126723,19.7795848629844,36.5654725432068,1.90842912393388e-13,1.64640696313431e-12
"292.10267_1.369",0.48444384009279,2.04289263862693,2.17581820437196,1.55844879853414,26.3765948446994,36.5094688215207,1.9645831358182e-13,1.6857390778311e-12
"260.05312_1.295",0.328740235595989,2.57035507556391,2.80831306583261,2.24161483996792,23.5175625033611,36.289529465491,2.20217519524951e-13,1.87950353562472e-12
"210.06415_0.917",-0.429019135444077,-1.60668095513952,-1.94748012567062,-1.17766181969544,19.5904921188495,36.2100177196122,2.2952175188589e-13,1.94817605192274e-12
"208.06046_5.029",0.0171811334091843,-1.88467094425916,-1.63094202940677,-1.90185207766834,22.6113930444174,36.2001450960881,2.30705058780324e-13,1.94817605192274e-12
"546.35434_7.636",0.656848907427049,2.92658099320905,4.03244627552438,2.269732085782,22.2918142516776,35.8590242099251,2.75716126427321e-13,2.31601546198949e-12
"175.10784_1.15",-0.594751216136988,2.00912448666268,1.44659158806269,2.60387570279967,24.6360908223213,35.2181311485906,3.86518274445491e-13,3.22975479589007e-12
"91.02463_0.802",-0.0621255930132478,1.19940491024707,1.12384328988575,1.26153050326031,24.0986127772046,35.1651185140789,3.9754014967442e-13,3.27197584481477e-12
"91.02466_0.806",-0.0621255930132478,1.19940491024707,1.12384328988575,1.26153050326031,24.0986127772046,35.1651185140789,3.9754014967442e-13,3.27197584481477e-12
"204.08683_0.98",0.416085695239157,3.0016977793938,3.28823434061998,2.58561208415464,21.9957559228856,35.164259617509,3.97721374620341e-13,3.27197584481477e-12
"546.20314_1.105",0.0783705573230963,1.87444058713295,2.33887328435688,1.79607002980986,20.9521990216361,34.9802859370603,4.38578097185103e-13,3.58959304157654e-12
"394.87438_0.925",0.149431065750654,-2.52159837994994,-2.50628205634583,-2.6710294457006,20.40388799054,34.9299061441623,4.50506576135908e-13,3.66841069139239e-12
"160.06063_1.379",-0.0361379403585964,-1.99286373063699,-1.85945341386335,-1.95672579027839,19.9439496037656,34.7941083154737,4.84359521081996e-13,3.92404972409576e-12
"224.09158_4.468",0.0923717091849199,2.41013818735538,2.39464395351784,2.31776647817046,20.1852489256671,34.7817308859099,4.87573127700128e-13,3.9301349081283e-12
"687.26958_7.349",0.0410579890152482,-2.73918458834409,-2.94468382322965,-2.78024257735934,20.2367919004463,34.6870083579102,5.12908045765473e-13,4.11357407558641e-12
"199.00815_1.525",-0.180524352316369,3.56068490408626,2.61075280277388,3.74120925640263,22.2372004617193,34.6505502363301,5.23018659308909e-13,4.17368890128509e-12
"180.10204_8.012",-0.130620934801999,-1.92204448921474,-2.0926814517281,-1.79142355441275,24.5925109865039,34.3931645821855,6.00520763354548e-13,4.76831412096447e-12
